iter	RMSE
0	4.436849357
1	4.343217117
2	4.256768766
3	4.178200157
4	4.0990505
5	4.027623472
6	3.9574786
7	3.893263231
8	3.8342548
9	3.773785835
10	3.719015329
11	3.671111152
12	3.619247888
13	3.574113732
14	3.532378608
15	3.489707155
16	3.4477418
17	3.410364959
18	3.376920829
19	3.349045021
20	3.321031957
21	3.289160339
22	3.256240354
23	3.231837326
24	3.207279659
25	3.184771887
26	3.161393665
27	3.142671401
28	3.120949841
29	3.099541147
30	3.082521026
31	3.064296255
32	3.046557424
33	3.031575243
34	3.015592799
35	2.999314296
36	2.985964012
37	2.974247907
38	2.961714237
39	2.949435577
40	2.938047105
41	2.925261315
42	2.913367555
43	2.898849065
44	2.886776961
45	2.876246817
46	2.867491368
47	2.856813516
48	2.844987945
49	2.833265622
50	2.822052536
51	2.813844228
52	2.803366045
53	2.794878209
54	2.783464426
55	2.775905261
56	2.768554506
57	2.760660664
58	2.753406318
59	2.747270552
60	2.739749345
61	2.732462516
62	2.726973976
63	2.721241836
64	2.716314532
65	2.710506543
66	2.704338848
67	2.698195286
68	2.692065494
69	2.687461593
70	2.681130764
71	2.674486489
72	2.669835011
73	2.663846641
74	2.658549309
75	2.653627326
76	2.647332323
77	2.642343526
78	2.638398567
79	2.632993456
80	2.6296253
81	2.626428813
82	2.61812959
83	2.615105774
84	2.611343504
85	2.60600712
86	2.602168432
87	2.59815838
88	2.593970061
89	2.591641773
90	2.587929604
91	2.585635425
92	2.582427195
93	2.579566254
94	2.576960586
95	2.573843039
96	2.572219611
97	2.569287858
98	2.566652584
99	2.565048143
100	2.562248037
101	2.559991167
102	2.557723972
103	2.552591219
104	2.548091248
105	2.544964212
106	2.54185626
107	2.539659706
108	2.537829528
109	2.536119135
110	2.531198098
111	2.529018393
112	2.526511645
113	2.524573209
114	2.522790808
115	2.518726726
116	2.515624133
117	2.514312065
118	2.511768165
119	2.508949155
120	2.506355466
121	2.504342477
122	2.503198644
123	2.501501996
124	2.499627731
125	2.49639315
126	2.493013897
127	2.4906688
128	2.489409587
129	2.486978841
130	2.484006345
131	2.482466645
132	2.480313468
133	2.47853114
134	2.475001263
135	2.472524657
136	2.468733986
137	2.464962604
138	2.463215409
139	2.460861966
140	2.459239693
141	2.456458464
142	2.454400771
143	2.4503217
144	2.446184529
145	2.444200011
146	2.442844346
147	2.441246938
148	2.439452932
149	2.438086338
150	2.436755733
151	2.434792233
152	2.433753772
153	2.431015977
154	2.42900202
155	2.426011835
156	2.422165568
157	2.421263833
158	2.416769751
159	2.415289992
160	2.413180202
161	2.412859664
162	2.408945153
163	2.408241889
164	2.40413068
165	2.402090645
166	2.400423143
167	2.398198979
168	2.396376302
169	2.394418289
170	2.39254527
171	2.390812499
172	2.389634788
173	2.386846389
174	2.383854755
175	2.381591929
176	2.378751519
177	2.375471571
178	2.373804857
179	2.370632032
180	2.369895565
181	2.366790364
182	2.365481846
183	2.363702724
184	2.362307693
185	2.361542416
186	2.360410467
187	2.358173083
188	2.357740131
189	2.35632534
190	2.352017514
191	2.351343607
192	2.34973468
193	2.348102426
194	2.34731972
195	2.346441128
196	2.344645747
197	2.343548187
198	2.342632185
199	2.342478525
200	2.342099882
201	2.339411238
202	2.338738511
203	2.33655079
204	2.334166206
205	2.332499181
206	2.332452091
207	2.331975632
208	2.331552233
209	2.328646796
210	2.327788131
211	2.325620143
212	2.325403482
213	2.325100584
214	2.321945747
215	2.320823363
216	2.318962173
217	2.317782681
218	2.314462341
219	2.312135128
220	2.310134195
221	2.307979007
222	2.306922548
223	2.304959269
224	2.302681077
225	2.302451254
226	2.300337822
227	2.298879051
228	2.296014322
229	2.295621684
230	2.293313517
231	2.290390835
232	2.288361119
233	2.286822752
234	2.284681643
235	2.282464358
236	2.280790716
237	2.279120704
238	2.279004952
239	2.278584175
240	2.278474591
241	2.27608782
242	2.274574814
243	2.271118398
244	2.269157348
245	2.268774207
246	2.26850173
247	2.266822104
248	2.265953355
249	2.265783326
250	2.263969895
251	2.261886892
252	2.260376198
253	2.260218872
254	2.258802468
255	2.258657689
256	2.257201957
257	2.254680578
258	2.252870309
259	2.249650405
260	2.247918245
261	2.246657835
262	2.24545321
263	2.244748309
264	2.242367168
265	2.241413123
266	2.239161505
267	2.237799984
268	2.235760805
269	2.235547078
270	2.2340456
271	2.233382738
272	2.23318357
273	2.231612045
274	2.229135806
275	2.227389306
276	2.224933879
277	2.223395497
278	2.223257679
279	2.222056153
280	2.219092485
281	2.216883498
282	2.21545637
283	2.213856604
284	2.212664077
285	2.209983298
286	2.20858411
287	2.206826378
288	2.204008455
289	2.201481382
290	2.200448923
291	2.197684654
292	2.196308895
293	2.19489622
294	2.194722398
295	2.193540537
296	2.191651389
297	2.190390662
298	2.189385086
299	2.189218024
300	2.187605106
301	2.186336006
302	2.186179604
303	2.185333949
304	2.183720565
305	2.181519369
306	2.181158002
307	2.179598935
308	2.178572327
309	2.178297807
310	2.1771266
311	2.175063585
312	2.172796495
313	2.171279533
314	2.171030622
315	2.168963599
316	2.166741546
317	2.165230349
318	2.164526709
319	2.164328634
320	2.161336014
321	2.158644247
322	2.156587865
323	2.154327644
324	2.15247929
325	2.150357797
326	2.148617006
327	2.148486236
328	2.146300859
329	2.143398434
330	2.141790158
331	2.139657259
332	2.137138624
333	2.136264836
334	2.134624548
335	2.133801946
336	2.132485742
337	2.130638714
338	2.13054567
339	2.128258426
340	2.126469125
341	2.126345912
342	2.123818384
343	2.12369917
344	2.122491814
345	2.122345449
346	2.121145999
347	2.119205953
348	2.117765221
349	2.116324879
350	2.113948822
351	2.112861407
352	2.111306144
353	2.109515096
354	2.107195842
355	2.105978291
356	2.105085127
357	2.103300706
358	2.102039834
359	2.101937155
360	2.10004741
361	2.099624363
362	2.098214471
363	2.096336387
364	2.095354947
365	2.093320616
366	2.09181431
367	2.091727225
368	2.091294531
369	2.090176807
370	2.089204446
371	2.089142489
372	2.088497193
373	2.087844731
374	2.087766412
375	2.086507347
376	2.086428992
377	2.085317491
378	2.083475671
379	2.083341117
380	2.082364535
381	2.080086685
382	2.078813921
383	2.078684334
384	2.076771702
385	2.076647777
386	2.075554864
387	2.073551757
388	2.072401504
389	2.072342791
390	2.070708394
391	2.068657977
392	2.067399582
393	2.065500662
394	2.065386632
395	2.063097579
396	2.062393447
397	2.06140539
398	2.061350469
399	2.05905885
400	2.057548655
401	2.055031781
402	2.054010839
403	2.052969233
404	2.050782523
405	2.047660932
406	2.046100102
407	2.045102306
408	2.044104567
409	2.043219325
410	2.042216711
411	2.040847926
412	2.039859531
413	2.039808662
414	2.039060857
415	2.038150123
416	2.036605503
417	2.035266592
418	2.033451402
419	2.030807409
420	2.030755104
421	2.028603741
422	2.027090235
423	2.025839707
424	2.023470539
425	2.022612421
426	2.022521218
427	2.020665345
428	2.020576261
429	2.018859254
430	2.01750019
431	2.017449386
432	2.01635557
433	2.015620555
434	2.013447749
435	2.012260738
436	2.011066898
437	2.010532546
438	2.010031492
439	2.009280418
440	2.008716015
441	2.007213937
442	2.006507032
443	2.005233818
444	2.003950463
445	2.003030907
446	2.001433284
447	2.000959341
448	1.999289563
449	1.997945328
450	1.996985323
451	1.996257179
452	1.994735714
453	1.992460657
454	1.991630228
455	1.99007522
456	1.989090165
457	1.987044681
458	1.985735308
459	1.984749647
460	1.984016316
461	1.9827466
462	1.982039312
463	1.980823938
464	1.978937717
465	1.977959863
466	1.977062026
467	1.976110102
468	1.974748904
469	1.973684789
470	1.972067651
471	1.971039504
472	1.969765435
473	1.968256467
474	1.967419115
475	1.967374412
476	1.965588178
477	1.96381282
478	1.963120231
479	1.962563764
480	1.961745145
481	1.960632762
482	1.958991313
483	1.957956182
484	1.956545669
485	1.955198337
486	1.953573937
487	1.952647354
488	1.95091906
489	1.949765146
490	1.948246907
491	1.946629494
492	1.945363608
493	1.94390217
494	1.942910052
495	1.942868459
496	1.942413637
497	1.942373243
498	1.940723183
499	1.939885916
500	1.939846608
501	1.938924206
502	1.938242119
503	1.936992532
504	1.935918069
505	1.935268789
506	1.935230606
507	1.932991671
508	1.931471129
509	1.930483149
510	1.929270111
511	1.928157782
512	1.928116417
513	1.927878637
514	1.927059391
515	1.927018593
516	1.925547452
517	1.925518768
518	1.925479637
519	1.923668934
520	1.923107059
521	1.92306977
522	1.922110642
523	1.919737746
524	1.917861872
525	1.916560614
526	1.91554984
527	1.914970671
528	1.913977115
529	1.91282033
530	1.911714798
531	1.910800501
532	1.910001254
533	1.908928157
534	1.906774011
535	1.905918833
536	1.90494818
537	1.904406773
538	1.90366999
539	1.902763177
540	1.901810994
541	1.900812754
542	1.899499585
543	1.898114403
544	1.89808084
545	1.896899695
546	1.895998815
547	1.89480629
548	1.893001625
549	1.892633172
550	1.892596698
551	1.890434985
552	1.890399344
553	1.890364709
554	1.888884657
555	1.888136065
556	1.886505724
557	1.885836711
558	1.884250404
559	1.883903451
560	1.882385906
561	1.881391451
562	1.879243348
563	1.877937953
564	1.87640258
565	1.874896119
566	1.874487306
567	1.873055404
568	1.871961079
569	1.870853294
570	1.869958491
571	1.869320639
572	1.868954735
573	1.868119164
574	1.866417222
575	1.866383951
576	1.86519751
